CATEGORY_TEXT	CONT_SCOPE	FUNC_LOC	ITEM_TITLE	ITEM_DESCRIPTION	STARTUP
Electrical	X	N/A	Substation drawings	Provide all substaion drawings	N
Instrumentation	X	N/A	607-PDIT-0051 to be Installed	Scope of work.	Y
HVAC	X	N/A	607-607-PDIT-0051 Cable Activities	Scope of work.	Y
HVAC	X	N/A	607-607-PDIT-0051 Identification	Scope of work.	N
HVAC	X	N/A	T3 Installation	Scope of work.	Y
HVAC	X	N/A	T3 Cable Activities	Scope of work.	N
HVAC	X	N/A	T3  Identification	Scope of work.	N
HVAC	X	N/A	FSD-6 Conduit Installation	Scope of work.	Y
HVAC	X	N/A	FSD-6  Cable Activities	Fire and smoke damper, FSD-6 cable to be pulled, taggged, terminated and tested.	N
HVAC	X	N/A	FSD-6 Identification	Fire and smoke damper, FSD-6 to be provided with a tag to both device and conduit.	N
HVAC	X	N/A	FSD-7 Conduit Installation	Fire and smoke damper, FSD-7 no conduit installed.	Y
HVAC	X	N/A	FSD-7 Cable Activities	Fire and smoke damper, FSD-7  cable to be pulled, taggged, terminated and tested.	Y
HVAC	X	N/A	FSD-7 Identification	Fire and smoke damper, FSD-7 to be provided with a tag to both device and conduit.	N
HVAC	X	N/A	FSD-4 Conduit Installation	Fire and smoke damper, FSD-4 no conduit installed.	Y
HVAC	X	N/A	FSD-4 Cable Activities	Fire and smoke damper, FSD-4  cable to be pulled, taggged, terminated and tested.	Y
HVAC	X	N/A	FSD-4 Identification	Fire and smoke damper, FSD-4 to be provided with a tag to both device and conduit.	N
HVAC	X	N/A	FSD-5 Conduit Installation	Fire and smoke damper, FSD-5 no conduit installed.	Y
HVAC	X	N/A	FSD-5 Cable Activities	Scope of work.	Y
HVAC	X	N/A	FSD-5 Identification	Scope of work.	N
HVAC	X	N/A	607-PDIT-0050 Installation	Scope of work.	Y
HVAC	X	N/A	607-PDIT-0050 Cable Activities	Scope of work.	Y
Electrical	X	N/A	Close all punch items as per SAES	SAES	N
HVAC	X	N/A	607-PDIT-0050 Identification	Scope of work.	N
HVAC	X	N/A	T2 Installation	Scope of work.	Y
HVAC	X	N/A	T2 Cable Activities	Scope of work.	Y
HVAC	X	N/A	T2 Identification	Scope of work.	N
HVAC	X	N/A	FSD-1 Conduit Installation	Fire and smoke damper, FSD-1 no conduit installed.	Y
HVAC	X	N/A	FSD-1 Cable Activities	Fire and smoke damper, FSD-1 cable to be pulled, taggged, terminated and tested.	Y
HVAC	X	N/A	FSD-1 Identification	Fire and smoke damper, FSD-1  to be provided with a tag to both device and conduit.	N
HVAC	X	N/A	TS-1 Cable Activities	Return air temp. device, TS-1 cable to be pulled, taggged, terminated and tested.	Y
HVAC	X	N/A	TS-1 Installation	Return air temp. device, TS-1 in mechanical room not yet installed.	Y
HVAC	X	N/A	TS-1 Identification	Return air temp. device, TS-1 in mechanical room  to be provided with a tag to both device and conduit.	N
HVAC	X	N/A	MD-5 Installation	Motorized dumper, MD-5 in mechanical room not yet installed.	Y
HVAC	X	N/A	MD-5 Cable Activities	Motorized dumper, MD-5 cable to be pulled, taggged, terminated and tested.	Y
HVAC	X	N/A	MD-5 Identification	Scope of work.	N
HVAC	X	N/A	TS-2 Installation	Supply air temp. device, TS2 in battery room not yet installed.	Y
HVAC	X	N/A	TS-2 Cable Activities	Scope of work.	Y
HVAC	X	N/A	TS-2 Identification	Scope of work.	N
HVAC	X	N/A	PDSH for AHU-2A	Pressure Differential Switch high for AHU-2A not installed.	Y
HVAC	X	N/A	PDSH for AHU-2A Cable Activities	Scope of work.	Y
HVAC	X	N/A	PDSH for AHU-2A Identification	Scope of work.	N
HVAC	X	N/A	PDSL for AHU-2A	Scope of work.	Y
HVAC	X	N/A	FSD Installation-01	Scope of Work	Y
HVAC	X	N/A	PDSL for AHU-2A Cable Activities	Pressure Differential Switch low cable to be pulled, tagged, terminated and tested.	Y
HVAC	X	N/A	PDSL for AHU-2A Identification	Pressure Differential Switch low for AHU-2A to be provided with a tag to both device and conduit.	N
HVAC	X	N/A	MD-2 Installation	Scope of work.	Y
HVAC	X	N/A	MD-2 Cable Activities	Motorized dumper, MD-2 cable to be pulled, taggged, terminated and tested.	Y
HVAC	X	N/A	MD-2 Identification	Motorized dumper, MD-2 in mechanical room  to be provided with a tag to both device and conduit.	N
HVAC	X	N/A	PDSH for AHU-2B	Scope of work.	Y
HVAC	X	N/A	PDSH for AHU-2B Cable Activities	Scope of work.	Y
HVAC	X	N/A	PDSH for AHU-2B Identification	Scope of work.	N
HVAC	X	N/A	PDSL for AHU-2B	Scope of work.	Y
HVAC	X	N/A	PDSL for AHU-2B Cable Activities	Scope of work.	Y
HVAC	X	N/A	PDSL for AHU-2B Identification	Scope of work.	N
HVAC	X	N/A	FSD-01 Access Door Installation	Complete installation of Access door Fire smoke damper Tag-01 at Mechanical Room Substation building	Y
HVAC	X	N/A	MD-4 Installation	Motorized dumper, MD-4 in mechanical room not yet installed.	Y
HVAC	X	N/A	MD-4 Cable Activities	Scope of work.	Y
HVAC	X	N/A	MD-4 Identification	Motorized dumper, MD-4 in mechanical room  to be provided with a tag to both device and conduit.	N
HVAC	X	N/A	FSD-2 Conduit Installation	Fire and smoke damper, FSD-2 no conduit installed.	Y
HVAC	X	N/A	FSD Installation-02	Complete installation of Fire smoke damper Tag-02 at Mechanical Room Substation building	Y
Instrumentation	X	N/A	FSD-2 Cable Activities	Fire and smoke damper, FSD-2  cable to be pulled, tagged, terminated and tested.	Y
HVAC	X	N/A	FSD-2 Identification	Fire and smoke damper, FSD-2  to be provided with a tag to both device and conduit.	N
HVAC	X	N/A	FSD-02 Access Door Installation	Scope of Work	Y
HVAC	X	N/A	MD-3 Installation	Motorized dumper, MD-3 in mechanical room not yet installed.	Y
